,Manufacturer,Model Name,Category,Screen Size,Screen,CPU,RAM, Storage,GPU,Operating System,Operating System Version,Weight,Price (Euros),Price (USD),sizeperWeight,priceperharddrive,priceperram,LogPrice (USD)
22,Dell,Inspiron 5770,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1152,AMD Radeon 530,Windows,10,0.5261845386533666,979.0,1057.3200000000002,6.178571428571429,0.9178125000000001,132.16500000000002,6.964438024154124
23,HP,250 G6,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,1024,Intel HD Graphics 620,Windows,10,0.2917705735660848,488.69,527.7852,8.387096774193548,0.515415234375,131.9463,6.270582300248683
24,HP,ProBook 450,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Nvidia GeForce 930MX ,Windows,10,0.3516209476309227,879.0,949.32,7.428571428571428,3.70828125,118.665,6.8567987699812845
25,Dell,Inspiron 7577,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,1280,Nvidia GeForce GTX 1060,Windows,10,0.4887780548628429,1499.0,1618.92,5.886792452830189,1.26478125,101.1825,7.390132044291014
26,Acer,Aspire A515-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,256,Intel UHD Graphics 620,Windows,10,0.37655860349127185,682.0,736.5600000000001,7.09090909090909,2.8771875000000002,184.14000000000001,6.603347440836964
27,Dell,Inspiron 7773,2 in 1 Convertible,17.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,12,1024,Nvidia GeForce 150MX,Windows,10,0.518703241895262,999.0,1078.92,6.245487364620939,1.0536328125,89.91000000000001,6.984642243300572
28,Asus,Rog Strix,Gaming,17.3,Full HD 1920x1080,AMD Ryzen 1700 3GHz,8,1280,AMD Radeon RX 580,Windows,10,0.6259351620947631,1299.0,1402.92,5.40625,1.09603125,175.365,7.247023602905351
29,Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,256,AMD Radeon R5 M430,Windows,10,0.401496259351621,639.0,690.12,6.782608695652175,2.69578125,172.53,6.538313470050629
30,Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.3,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4,1024,Nvidia GeForce 920MX,Windows,10,0.5261845386533666,466.0,503.28,6.178571428571429,0.491484375,125.82,6.2231316693630685
31,Acer,Aspire A515-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Nvidia GeForce MX150,Windows,10,0.37655860349127185,841.0,908.28,7.09090909090909,3.54796875,113.535,6.812653077548811
32,HP,255 G6,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4,256,AMD Radeon R4 Graphics,Windows,10,0.2917705735660848,398.49,430.3692,8.387096774193548,1.6811296875,107.5923,6.066964335949626
33,HP,ProBook 430,Notebook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,512,Intel UHD Graphics 620,Windows,10,0.19950124688279303,1103.0,1191.24,8.926174496644295,2.326640625,148.905,7.083589169640537
34,Acer,Aspire 3,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4,1024,Intel HD Graphics 620,Windows,10,0.4264339152119701,384.0,414.72,6.5,0.405,103.68,6.030011956720221
35,Dell,Inspiron 3576,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,AMD Radeon 520,Windows,10,0.35910224438902744,767.8,829.224,7.323943661971831,3.23915625,103.653,6.7216955438977894
